"request_id","created_date","closed_date","status","communityboardid","address","cross_street","landmark","locationtype","facilitytype","addresstype","vehicletype","agency_code","responsibleagency","requesttype","category","request_details","source","latitude","longitude"
41316299,"2019-01-01 10:49:00+00","2019-01-02 09:30:00+00","Closed","12 QUEENS",NULL,NULL,NULL,NULL,"N/A","INTERSECTION",NULL,"DEP","Department of Environmental Protection","Sewer","Catch Basin Clogged/Flooding (Use Comments) (SC)",NULL,"PHONE",40.6889893645812,-73.7806338859158
41326633,"2019-01-02 13:08:10+00","2019-04-11 00:00:00+00","Closed","04 BRONX","165 EAST  170 STREET, BRONX, NY 10452",NULL,NULL,"Comercial","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Graffiti","Graffiti","The City has removed the graffiti from this property.","UNKNOWN",40.8390681644884,-73.914648364987
41317948,"2019-01-01 09:24:00+00","2019-01-03 12:00:00+00","Closed","14 QUEENS",NULL,NULL,NULL,"Sidewalk","DSNY Garage","INTERSECTION",NULL,"DSNY","BCC - Queens East","Sanitation Condition","12 Dead Animals","The Department of Sanitation cleaned the location.","PHONE",40.6026910171006,-73.7630014210228
41317675,"2019-01-01 11:31:00+00","2019-01-05 00:00:00+00","Closed","04 MANHATTAN","313 WEST   17 STREET, NEW YORK, NY 10011","8 AVENUE & 9 AVENUE",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.7419554766861,-74.0017935353646
41315412,"2019-01-01 12:38:00+00","2019-01-08 00:00:00+00","Closed","13 QUEENS","218-22 93 AVENUE, Queens Village, NY 11428","218 STREET & 218 PLACE",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.72174348024,-73.7388938835825
41325212,"2019-01-01 13:14:57+00","2019-01-02 10:45:00+00","Closed","11 QUEENS",NULL,NULL,NULL,NULL,"N/A","INTERSECTION",NULL,"DOT","Department of Transportation","Street Condition","Pothole","The Department of Transportation inspected this complaint and repaired the problem.","UNKNOWN",40.7564115029366,-73.7892912605449
41317021,"2019-01-01 14:26:00+00","2019-01-03 15:04:00+00","Closed","06 BROOKLYN","147 NELSON STREET, BROOKLYN, NY 11231","CLINTON STREET & COURT STREET",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.6768167788776,-73.9998702128601
41315149,"2019-01-01 14:54:00+00","2019-01-03 00:00:00+00","Closed","17 BROOKLYN","120 EAST   88 STREET, BROOKLYN, NY 11236","AVENUE A & AVENUE B",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.6497165709635,-73.9190961615167
41318787,"2019-01-01 20:43:00+00","2019-01-08 00:00:00+00","Closed","06 BROOKLYN","138 SACKETT STREET, BROOKLYN, NY 11231","COLUMBIA STREET & HICKS STREET",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.6849303056735,-74.0022499174804
41316869,"2019-01-01 21:16:00+00","2019-01-03 00:00:00+00","Closed","18 BROOKLYN","2256 RALPH AVENUE, BROOKLYN, NY 11234","EAST 66 STREET & AVENUE M",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.6228742433871,-73.9176265444797
